SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,
+41s,6.144,12,10,protocol,7.5,70,227,3.24286,40,40,1,1,0.478873,0.425,0.283333,0.283333,0.242857,0.242857,0.242857,0.242857,0.494288,10
+42s,6.144,12,10,protocol,7.5,70,238,3.4,40,39,0.975,0.977273,0.606061,0.5,0.333333,0.327869,0.285714,0.285714,0.285714,0.285714,0.493442,10
+43s,6.144,12,10,protocol,7.5,80,325,4.0625,56,56,1,0.965116,0.795082,0.521505,0.373077,0.346429,0.323333,0.323333,0.323333,0.323333,0.492151,10
+44s,6.144,12,10,protocol,7.5,80,322,4.025,40,40,1,0.97,0.808333,0.538889,0.373077,0.346429,0.303125,0.303125,0.303125,0.303125,0.491061,10
+45s,6.144,12,10,protocol,7.5,80,329,4.1125,36,36,1,0.99,0.951923,0.592814,0.383721,0.353571,0.280453,0.280453,0.280453,0.280453,0.489998,10
+46s,6.144,12,10,protocol,7.5,80,322,4.025,20,20,1,1,0.97,0.613924,0.429204,0.346429,0.269444,0.269444,0.269444,0.269444,0.498574,10
+47s,6.144,12,10,protocol,7.5,80,313,3.9125,28,28,1,1,0.96,0.607595,0.436364,0.333333,0.266667,0.266667,0.266667,0.266667,0.497163,10
+48s,6.144,12,10,protocol,7.5,80,305,3.8125,40,38,0.95,0.95,0.84,0.6,0.451613,0.26087,0.219895,0.219895,0.219895,0.219895,0.496392,10
+49s,6.144,12,10,protocol,7.5,80,309,3.8625,40,40,1,1,0.8,0.571429,0.444444,0.25,0.2,0.2,0.2,0.2,0.496417,10
+50s,6.144,12,10,protocol,7.5,80,305,3.8125,40,40,1,0.985714,0.79,0.564286,0.434066,0.251592,0.1975,0.1975,0.1975,0.1975,0.49445,10
+51s,6.144,12,10,protocol,7.5,80,292,3.65,40,40,1,1,0.75,0.580645,0.378947,0.246575,0.18,0.18,0.18,0.18,0.491201,10
+52s,4.096,8,10,protocol,7.5,80,256,3.2,40,40,1,1,0.75,0.491803,0.277778,0.208333,0.157895,0.157895,0.157895,0.157895,0.489485,10
+53s,4.096,8,10,protocol,7.5,80,232,2.9,24,22,0.916667,0.966667,0.783784,0.414286,0.27619,0.204225,0.15847,0.15847,0.15847,0.15847,0.487439,10
+54s,4.096,8,10,protocol,7.5,80,250,3.125,20,20,1,1,1,0.491803,0.3,0.214286,0.170455,0.170455,0.170455,0.170455,0.485345,10
+55s,4.096,8,10,protocol,7.5,90,259,2.87778,20,20,1,1,0.566038,0.3125,0.215827,0.166667,0.141509,0.141509,0.141509,0.141509,0.483153,10
+56s,4.096,8,10,protocol,7.5,90,264,2.93333,20,20,1,1,0.541667,0.300926,0.249042,0.180556,0.154762,0.154762,0.154762,0.154762,0.480606,10
+57s,4.096,8,10,protocol,7.5,90,283,3.14444,20,20,1,1,0.629032,0.386139,0.280576,0.216667,0.19403,0.19403,0.19403,0.19403,0.478076,10
+58s,4.096,8,10,protocol,7.5,90,276,3.06667,20,20,1,0.966667,0.608333,0.405556,0.268382,0.202778,0.192105,0.192105,0.192105,0.192105,0.475678,10
