SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,
+14s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.333333,0.333333,0.333333,0.333333,0.616523,10
+15s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.645161,0.333333,0.333333,0.333333,0.333333,0.650908,10
+16s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.487805,0.333333,0.333333,0.333333,0.333333,0.670647,10
+17s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.678258,10
+18s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.689655,0.333333,0.333333,0.333333,0.333333,0.333333,0.667936,10
+19s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.5,0.333333,0.333333,0.333333,0.333333,0.333333,0.662065,10
+20s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.377358,0.333333,0.333333,0.333333,0.333333,0.333333,0.652793,10
+21s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,0.8,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.648263,10
+22s,8.192,16,10,protocol,7.5,50,190,3.8,40,40,1,1,1,0.5,0.333333,0.333333,0.25,0.25,0.25,0.25,0.637929,10
+23s,8.192,16,10,protocol,7.5,50,190,3.8,40,40,1,1,1,0.465116,0.333333,0.333333,0.25,0.25,0.25,0.25,0.631671,10
+24s,8.192,16,10,protocol,7.5,50,194,3.88,40,40,1,1,1,0.333333,0.333333,0.333333,0.25,0.25,0.25,0.25,0.622433,10
+25s,8.192,16,10,protocol,7.5,50,203,4.06,40,40,1,1,0.512821,0.333333,0.333333,0.285714,0.25,0.25,0.25,0.25,0.617093,10
+26s,8.192,16,10,protocol,7.5,50,214,4.28,40,40,1,1,0.575,0.383333,0.383333,0.328571,0.2875,0.2875,0.2875,0.2875,0.608912,10
+27s,8.192,16,10,protocol,7.5,50,246,4.92,40,39,0.975,0.978261,0.703704,0.633333,0.633333,0.542857,0.475,0.475,0.475,0.475,0.604332,10
+28s,8.192,16,10,protocol,7.5,60,292,4.86667,40,40,1,1,0.716667,0.716667,0.716667,0.477778,0.40566,0.40566,0.40566,0.40566,0.595344,10
+29s,8.192,16,10,protocol,7.5,60,306,5.1,40,40,1,1,0.966667,0.966667,0.966667,0.644444,0.527273,0.527273,0.527273,0.527273,0.590112,10
+30s,6.656,13,10,protocol,7.5,60,263,4.38333,54,54,1,1,1,1,1,0.652174,0.521739,0.521739,0.521739,0.521739,0.583394,10
+31s,6.144,12,10,protocol,7.5,60,230,3.83333,76,76,1,1,1,1,1,0.6,0.487805,0.487805,0.487805,0.487805,0.580712,10
+32s,6.144,12,10,protocol,7.5,60,230,3.83333,100,100,1,1,1,1,1,0.6,0.451128,0.451128,0.451128,0.451128,0.575108,10
+33s,6.144,12,10,protocol,7.5,70,320,4.57143,118,118,1,1,1,1,1,0.526316,0.428571,0.428571,0.428571,0.428571,0.571698,10
+34s,6.144,12,10,protocol,7.5,70,320,4.57143,102,102,1,1,1,1,0.967742,0.483871,0.428571,0.428571,0.428571,0.428571,0.565614,10
+35s,6.144,12,10,protocol,7.5,70,307,4.38571,76,76,1,1,1,1,0.779221,0.491803,0.428571,0.428571,0.428571,0.428571,0.571449,10
+36s,6.144,12,10,protocol,7.5,70,299,4.27143,56,56,1,1,1,1,0.659341,0.46875,0.428571,0.428571,0.428571,0.428571,0.582258,10
+37s,6.144,12,10,protocol,7.5,70,295,4.21429,40,40,1,1,1,0.857143,0.6,0.461538,0.428571,0.428571,0.428571,0.428571,0.582184,10
+38s,6.144,12,10,protocol,7.5,70,267,3.81429,40,40,1,1,0.891667,0.677215,0.535,0.411538,0.382143,0.382143,0.382143,0.382143,0.575553,10
+39s,6.144,12,10,protocol,7.5,70,249,3.55714,40,40,1,0.983333,0.689394,0.56875,0.429245,0.376033,0.325,0.325,0.325,0.325,0.571565,10
+40s,6.144,12,10,protocol,7.5,70,225,3.21429,40,39,0.975,0.975,0.436709,0.43125,0.294872,0.2875,0.246429,0.246429,0.246429,0.246429,0.565452,10
+41s,6.144,12,10,protocol,7.5,70,226,3.22857,40,40,1,1,0.485915,0.43125,0.2875,0.2875,0.246429,0.246429,0.246429,0.246429,0.56212,10
+42s,6.144,12,10,protocol,7.5,70,239,3.41429,40,39,0.975,0.977273,0.606061,0.5,0.333333,0.327869,0.285714,0.285714,0.285714,0.285714,0.556458,10
+43s,6.144,12,10,protocol,7.5,80,324,4.05,56,56,1,0.965116,0.786885,0.516129,0.369231,0.342857,0.32,0.32,0.32,0.32,0.552438,10
+44s,6.144,12,10,protocol,7.5,80,325,4.0625,40,40,1,0.99,0.825,0.55,0.380769,0.353571,0.309375,0.309375,0.309375,0.309375,0.546472,10
+45s,6.144,12,10,protocol,7.5,80,331,4.1375,36,36,1,1,0.961538,0.598802,0.387597,0.357143,0.283286,0.283286,0.283286,0.283286,0.542901,10
+46s,6.144,12,10,protocol,7.5,80,323,4.0375,20,20,1,1,0.98,0.620253,0.433628,0.35,0.272222,0.272222,0.272222,0.272222,0.537661,10
+47s,6.144,12,10,protocol,7.5,80,313,3.9125,28,28,1,1,0.96,0.607595,0.436364,0.333333,0.266667,0.266667,0.266667,0.266667,0.534448,10
+48s,6.144,12,10,protocol,7.5,80,305,3.8125,40,38,0.95,0.95,0.84,0.6,0.451613,0.26087,0.219895,0.219895,0.219895,0.219895,0.529333,10
+49s,6.144,12,10,protocol,7.5,80,309,3.8625,40,40,1,1,0.8,0.571429,0.444444,0.25,0.2,0.2,0.2,0.2,0.526446,10
+50s,6.144,12,10,protocol,7.5,80,305,3.8125,40,40,1,0.985714,0.79,0.564286,0.434066,0.251592,0.1975,0.1975,0.1975,0.1975,0.521685,10
+51s,6.144,12,10,protocol,7.5,80,292,3.65,40,40,1,1,0.75,0.580645,0.378947,0.246575,0.18,0.18,0.18,0.18,0.519192,10
+52s,4.096,8,10,protocol,7.5,80,256,3.2,40,40,1,1,0.75,0.491803,0.277778,0.208333,0.157895,0.157895,0.157895,0.157895,0.515865,10
+53s,4.096,8,10,protocol,7.5,80,232,2.9,24,22,0.916667,0.966667,0.783784,0.414286,0.27619,0.204225,0.15847,0.15847,0.15847,0.15847,0.514564,10
+54s,4.096,8,10,protocol,7.5,80,250,3.125,20,20,1,1,1,0.491803,0.3,0.214286,0.170455,0.170455,0.170455,0.170455,0.511464,10
+55s,4.096,8,10,protocol,7.5,90,257,2.85556,20,20,1,0.966667,0.54717,0.302083,0.208633,0.161111,0.136792,0.136792,0.136792,0.136792,0.509796,10
+56s,4.096,8,10,protocol,7.5,90,264,2.93333,20,20,1,1,0.541667,0.300926,0.249042,0.180556,0.154762,0.154762,0.154762,0.154762,0.506663,10
+57s,4.096,8,10,protocol,7.5,90,282,3.13333,20,20,1,1,0.620968,0.381188,0.276978,0.213889,0.191542,0.191542,0.191542,0.191542,0.504651,10
+58s,4.096,8,10,protocol,7.5,90,277,3.07778,20,20,1,0.966667,0.608333,0.405556,0.268382,0.202778,0.192105,0.192105,0.192105,0.192105,0.500693,10
+59s,4.096,8,10,protocol,7.5,90,284,3.15556,20,20,1,1,0.544118,0.411111,0.284615,0.228395,0.194737,0.194737,0.194737,0.194737,0.498479,10
+60s,4.096,8,10,protocol,7.5,90,296,3.28889,20,20,1,1,0.506329,0.40404,0.3125,0.266667,0.210526,0.210526,0.210526,0.210526,0.494564,10
+61s,4.096,8,10,protocol,7.5,90,316,3.51111,20,20,1,0.942308,0.65625,0.477273,0.4375,0.357143,0.293296,0.293296,0.293296,0.293296,0.492589,10
+62s,4.096,8,10,protocol,7.5,90,329,3.65556,20,20,1,0.928571,0.7125,0.57,0.475,0.407143,0.335294,0.335294,0.335294,0.335294,0.488902,10
+63s,4.096,8,10,protocol,7.5,90,326,3.62222,20,20,1,0.988636,0.58046,0.505,0.420833,0.341216,0.295322,0.295322,0.295322,0.295322,0.486976,10
+64s,4.096,8,10,protocol,7.5,130,681,5.23846,66,66,1,0.96729,0.701117,0.6275,0.54329,0.464815,0.380303,0.380303,0.380303,0.380303,0.481963,10
+65s,4.096,8,10,protocol,7.5,130,738,5.67692,88,87,0.988636,0.943182,0.768786,0.665,0.554167,0.492593,0.415625,0.415625,0.415625,0.415625,0.478741,10
+66s,4.096,8,10,protocol,7.5,130,763,5.86923,102,93,0.911765,0.908451,0.808989,0.72,0.6,0.512456,0.43769,0.43769,0.43769,0.43769,0.474336,10
+67s,4.096,8,10,protocol,7.5,130,864,6.64615,152,152,1,1,0.994118,0.808612,0.704167,0.563333,0.512121,0.512121,0.512121,0.512121,0.471463,10
+68s,4.096,8,10,protocol,7.5,130,864,6.64615,196,196,1,1,1,0.779817,0.699588,0.537975,0.515152,0.515152,0.515152,0.515152,0.467177,10
+69s,4.096,8,10,protocol,7.5,130,805,6.19231,192,191,0.994792,0.979412,0.979412,0.792857,0.658103,0.520312,0.504545,0.504545,0.504545,0.504545,0.464612,10
+70s,3.072,6,10,protocol,7.5,130,822,6.32308,168,168,1,1,1,0.825243,0.636704,0.53125,0.515152,0.515152,0.515152,0.515152,0.461057,10
+71s,2.048,4,10,protocol,7.5,130,733,5.63846,119,115,0.966387,0.939103,0.894118,0.727273,0.522337,0.475,0.460606,0.460606,0.460606,0.460606,0.45981,10
+72s,2.048,4,10,protocol,7.5,130,688,5.29231,100,100,1,0.992647,0.904192,0.712264,0.510135,0.472613,0.460366,0.460366,0.460366,0.460366,0.456907,10
+73s,2.048,4,10,protocol,7.5,130,570,4.38462,98,95,0.969388,0.954167,0.823171,0.613636,0.465517,0.435484,0.412844,0.412844,0.412844,0.412844,0.455596,10
+74s,2.048,4,10,protocol,7.5,130,542,4.16923,80,79,0.9875,0.966387,0.81677,0.605991,0.463028,0.424194,0.393713,0.393713,0.393713,0.393713,0.452889,10
+75s,3.584,7,10,protocol,7.5,130,537,4.13077,74,74,1,0.966981,0.755882,0.611905,0.46223,0.414516,0.369253,0.369253,0.369253,0.369253,0.451177,10
+76s,4.096,8,10,protocol,7.5,130,514,3.95385,70,70,1,0.953704,0.76875,0.588517,0.473077,0.395498,0.345506,0.345506,0.345506,0.345506,0.448426,10
+77s,4.096,8,10,protocol,7.5,130,484,3.72308,80,80,1,0.95614,0.809211,0.585714,0.49004,0.389241,0.332432,0.332432,0.332432,0.332432,0.44679,10
+78s,4.096,8,10,protocol,7.5,130,496,3.81538,80,78,0.975,0.961538,0.806338,0.545238,0.497826,0.358934,0.285536,0.285536,0.285536,0.285536,0.443833,10
+79s,4.096,8,10,protocol,7.5,130,455,3.5,94,91,0.968085,0.955,0.741722,0.533333,0.493392,0.355556,0.266667,0.266667,0.266667,0.266667,0.44233,10
+80s,2.56,5,10,protocol,7.5,130,488,3.75385,84,84,1,1,0.6625,0.504762,0.471111,0.348684,0.238739,0.238739,0.238739,0.238739,0.44008,10
+81s,2.048,4,10,protocol,7.5,130,475,3.65385,80,80,1,0.977778,0.653125,0.514778,0.444681,0.318598,0.224731,0.224731,0.224731,0.224731,0.439578,10
+82s,2.048,4,10,protocol,7.5,130,471,3.62308,83,81,0.975904,0.931034,0.596875,0.5,0.382,0.283383,0.20021,0.20021,0.20021,0.20021,0.437629,10
+83s,2.048,4,10,protocol,7.5,130,474,3.64615,68,67,0.985294,0.944444,0.65035,0.489474,0.372,0.254795,0.197872,0.197872,0.197872,0.197872,0.436983,10
+84s,2.048,4,10,protocol,7.5,130,458,3.52308,60,60,1,0.908602,0.70428,0.443627,0.338318,0.232051,0.193376,0.193376,0.193376,0.193376,0.435142,10
+85s,3.072,6,10,protocol,7.5,140,532,3.8,60,60,1,0.97093,0.820833,0.428261,0.345614,0.232861,0.200815,0.200815,0.200815,0.200815,0.43415,10
+86s,2.048,4,10,protocol,7.5,140,480,3.42857,68,68,1,0.96875,0.716102,0.384091,0.279801,0.196512,0.177521,0.177521,0.177521,0.177521,0.432757,10
+87s,2.048,4,10,protocol,7.5,140,461,3.29286,96,96,1,0.9625,0.663793,0.351598,0.223837,0.17907,0.16383,0.16383,0.16383,0.16383,0.431393,10
+88s,2.048,4,10,protocol,7.5,140,474,3.38571,100,100,1,0.9625,0.6,0.352941,0.219718,0.177273,0.167382,0.167382,0.167382,0.167382,0.428765,10
+89s,2.048,4,10,protocol,7.5,140,501,3.57857,100,97,0.97,0.9625,0.655303,0.403263,0.235695,0.197941,0.186022,0.186022,0.186022,0.186022,0.427276,10
+90s,2.048,4,10,protocol,7.5,140,529,3.77857,86,86,1,0.9375,0.698582,0.42094,0.266216,0.228009,0.209574,0.209574,0.209574,0.209574,0.424783,10
+91s,2.048,4,10,protocol,7.5,140,531,3.79286,74,74,1,0.950276,0.734899,0.401099,0.293566,0.254651,0.224846,0.224846,0.224846,0.224846,0.423572,10
+92s,2.048,4,10,protocol,7.5,140,556,3.97143,58,58,1,0.962617,0.792208,0.401316,0.342697,0.283721,0.242545,0.242545,0.242545,0.242545,0.421201,10
+93s,2.048,4,10,protocol,7.5,140,555,3.96429,60,59,0.983333,0.916667,0.780488,0.423841,0.368876,0.297674,0.252465,0.252465,0.252465,0.252465,0.419932,10
+94s,2.048,4,10,protocol,7.5,140,576,4.11429,60,60,1,0.924901,0.754237,0.445,0.397914,0.306897,0.261765,0.261765,0.261765,0.261765,0.417674,10
+95s,2.048,4,10,protocol,7.5,150,618,4.12,86,84,0.976744,0.918699,0.67381,0.445669,0.401989,0.298523,0.262037,0.262037,0.262037,0.262037,0.416341,10
+96s,2.048,4,10,protocol,7.5,150,646,4.30667,110,104,0.945455,0.915179,0.617391,0.44375,0.394444,0.298947,0.254937,0.254937,0.254937,0.254937,0.414593,10
+97s,2.048,4,10,protocol,7.5,150,702,4.68,132,129,0.977273,0.958333,0.714583,0.535937,0.475069,0.352881,0.300877,0.300877,0.300877,0.300877,0.413354,10
+98s,2.048,4,10,protocol,7.5,150,746,4.97333,124,123,0.991935,0.982759,0.791139,0.591483,0.497347,0.376506,0.325521,0.325521,0.325521,0.325521,0.411158,10
+99s,0.512,1,10,protocol,7.5,150,756,5.04,135,128,0.948148,0.922222,0.84141,0.616129,0.4775,0.37451,0.323729,0.323729,0.323729,0.323729,0.410441,10
+100s,0,0,10,protocol,7.5,150,763,5.08667,100,100,1,0.980663,0.811715,0.610063,0.46747,0.373077,0.332192,0.332192,0.332192,0.332192,0.408913,10
+101s,0,0,10,protocol,7.5,150,745,4.96667,140,140,1,0.978947,0.81875,0.599085,0.440583,0.372865,0.340555,0.340555,0.340555,0.340555,0.408636,10
+102s,0,0,10,protocol,7.5,150,717,4.78,160,160,1,0.997368,0.844898,0.623494,0.446121,0.390566,0.364437,0.364437,0.364437,0.364437,0.407175,10
+103s,0,0,10,protocol,7.5,150,707,4.71333,164,164,1,0.962766,0.762548,0.587798,0.420213,0.365741,0.350177,0.350177,0.350177,0.350177,0.40669,10
+104s,0,0,10,protocol,7.5,150,753,5.02,179,179,1,0.988764,0.772727,0.583791,0.446429,0.393519,0.369565,0.369565,0.369565,0.369565,0.405295,10
+105s,2.048,4,10,protocol,7.5,160,755,4.71875,160,158,0.9875,0.931694,0.732759,0.523399,0.420792,0.354167,0.316692,0.316692,0.316692,0.316692,0.404324,10
+106s,0,0,10,protocol,7.5,160,719,4.49375,134,132,0.985075,0.954787,0.718966,0.496429,0.401734,0.346922,0.296586,0.296586,0.296586,0.296586,0.403141,10
+107s,0,0,10,protocol,7.5,160,684,4.275,127,125,0.984252,0.929936,0.616393,0.43418,0.355388,0.306688,0.264789,0.264789,0.264789,0.264789,0.402605,10
+108s,0,0,10,protocol,7.5,160,725,4.53125,156,152,0.974359,0.963855,0.620061,0.444444,0.382739,0.324841,0.282158,0.282158,0.282158,0.282158,0.401217,10
+109s,0,0,10,protocol,7.5,160,688,4.3,160,158,0.9875,0.92,0.55102,0.391304,0.35,0.284639,0.258904,0.258904,0.258904,0.258904,0.400729,10
+110s,0,0,10,protocol,7.5,160,650,4.0625,160,153,0.95625,0.849711,0.509804,0.368421,0.335175,0.262248,0.249315,0.249315,0.249315,0.249315,0.399402,10
+111s,0,0,10,protocol,7.5,160,760,4.75,156,153,0.980769,0.915068,0.569705,0.425,0.380143,0.306196,0.291096,0.291096,0.291096,0.291096,0.401855,10
+112s,0,0,10,protocol,7.5,160,704,4.4,142,138,0.971831,0.892857,0.570292,0.429142,0.363176,0.311594,0.294319,0.294319,0.294319,0.294319,0.405789,10
+113s,2.56,5,10,protocol,7.5,160,750,4.6875,186,184,0.989247,0.907834,0.617486,0.451098,0.37604,0.327536,0.307902,0.307902,0.307902,0.307902,0.406356,10
+114s,2.048,4,10,protocol,7.5,160,807,5.04375,244,233,0.954918,0.938119,0.690934,0.511179,0.405645,0.362915,0.344521,0.344521,0.344521,0.344521,0.404625,10
+115s,2.048,4,10,protocol,7.5,160,829,5.18125,314,314,1,0.980519,0.75744,0.49902,0.395186,0.363571,0.352006,0.352006,0.352006,0.352006,0.40421,10
+116s,2.048,4,10,protocol,7.5,160,849,5.30625,342,342,1,0.989879,0.846154,0.52381,0.401216,0.372355,0.366158,0.366158,0.366158,0.366158,0.403346,10
+117s,2.048,4,10,protocol,7.5,160,852,5.325,358,356,0.994413,0.994,0.877483,0.531062,0.407066,0.373239,0.367036,0.367036,0.367036,0.367036,0.402782,10
+118s,2.048,4,10,protocol,7.5,160,867,5.41875,390,390,1,1,0.823708,0.561077,0.421462,0.38169,0.376389,0.376389,0.376389,0.376389,0.401132,10
+119s,2.048,4,10,protocol,7.5,160,889,5.55625,404,402,0.99505,0.981707,0.805638,0.583871,0.42224,0.382394,0.377083,0.377083,0.377083,0.377083,0.400287,10
+120s,2.048,4,10,protocol,7.5,160,920,5.75,412,399,0.968447,0.948347,0.873529,0.645652,0.468085,0.42068,0.407407,0.407407,0.407407,0.407407,0.398699,10
+121s,2.048,4,10,protocol,7.5,160,975,6.09375,372,367,0.986559,0.962898,0.938066,0.696188,0.54,0.437324,0.422737,0.422737,0.422737,0.422737,0.398114,10
+122s,2.048,4,10,protocol,7.5,160,950,5.9375,348,348,1,0.989865,0.911243,0.738609,0.554955,0.435644,0.416216,0.416216,0.416216,0.416216,0.396583,10
+123s,2.048,4,10,protocol,7.5,160,923,5.76875,318,318,1,0.995,0.910979,0.7733,0.558182,0.439828,0.417687,0.417687,0.417687,0.417687,0.395832,10
+124s,2.048,4,10,protocol,7.5,160,934,5.8375,321,319,0.993769,0.982143,0.89645,0.816712,0.578244,0.465438,0.417355,0.417355,0.417355,0.417355,0.394356,10
+125s,2.048,4,10,protocol,7.5,160,882,5.5125,288,288,1,0.922932,0.835843,0.736074,0.556112,0.4465,0.382759,0.382759,0.382759,0.382759,0.393629,10
+126s,2.048,4,10,protocol,7.5,190,1028,5.41053,320,320,1,0.94974,0.786232,0.662933,0.516667,0.444065,0.356127,0.356127,0.356127,0.356127,0.392277,10
+127s,2.048,4,10,protocol,7.5,200,1069,5.345,312,298,0.955128,0.939736,0.829736,0.716356,0.544882,0.46568,0.373247,0.373247,0.373247,0.373247,0.391238,10
+128s,2.048,4,10,protocol,7.5,200,977,4.885,260,251,0.965385,0.906015,0.727603,0.623444,0.476984,0.399601,0.331129,0.331129,0.331129,0.331129,0.389545,10
+129s,2.048,4,10,protocol,7.5,200,963,4.815,222,222,1,0.963035,0.733167,0.625532,0.466667,0.390438,0.325942,0.325942,0.325942,0.325942,0.388573,10
+130s,0.512,1,10,protocol,7.5,200,835,4.175,200,191,0.955,0.884766,0.635753,0.496849,0.380225,0.309555,0.26573,0.26573,0.26573,0.26573,0.387233,10
+131s,0,0,10,protocol,7.5,200,927,4.635,192,192,1,0.934874,0.741983,0.558114,0.414495,0.325448,0.291523,0.291523,0.291523,0.291523,0.386771,10
+132s,0,0,10,protocol,7.5,200,893,4.465,200,195,0.975,0.924658,0.808081,0.541761,0.40201,0.30303,0.276498,0.276498,0.276498,0.276498,0.385596,10
+133s,0.512,1,10,protocol,7.5,200,846,4.23,196,190,0.969388,0.951923,0.781034,0.532315,0.391192,0.290385,0.264912,0.264912,0.264912,0.264912,0.385448,10
+134s,0,0,10,protocol,7.5,200,769,3.845,168,167,0.994048,0.931373,0.69338,0.489545,0.344291,0.251899,0.235225,0.235225,0.235225,0.235225,0.384773,10
+135s,1.024,2,10,protocol,7.5,200,785,3.925,150,149,0.993333,0.95,0.71978,0.52965,0.337629,0.251923,0.227168,0.227168,0.227168,0.227168,0.384211,10
+136s,0,0,10,protocol,7.5,200,743,3.715,140,140,1,0.9575,0.701465,0.514785,0.330172,0.247736,0.218857,0.218857,0.218857,0.218857,0.383321,10
+137s,1.536,3,10,protocol,7.5,200,742,3.71,140,140,1,0.908163,0.655797,0.47013,0.30217,0.234456,0.2036,0.2036,0.2036,0.2036,0.383075,10
+138s,2.048,4,10,protocol,7.5,200,759,3.795,140,140,1,0.947514,0.698182,0.492308,0.319468,0.24647,0.220436,0.220436,0.220436,0.220436,0.382165,10
+139s,2.048,4,10,protocol,7.5,200,746,3.73,140,138,0.985714,0.952663,0.689236,0.514249,0.330833,0.251904,0.225825,0.225825,0.225825,0.225825,0.381994,10
+140s,2.048,4,10,protocol,7.5,200,778,3.89,150,149,0.993333,0.916216,0.651203,0.464461,0.311166,0.238665,0.20733,0.20733,0.20733,0.20733,0.381118,10
+141s,2.048,4,10,protocol,7.5,200,772,3.86,164,164,1,0.923077,0.641914,0.467548,0.312199,0.250644,0.215155,0.215155,0.215155,0.215155,0.38058,10
+142s,2.048,4,10,protocol,7.5,200,812,4.06,180,180,1,0.924324,0.657643,0.471461,0.337971,0.27607,0.231243,0.231243,0.231243,0.231243,0.379333,10
+143s,2.048,4,10,protocol,7.5,200,862,4.31,210,210,1,0.946809,0.768333,0.501087,0.371774,0.315753,0.261932,0.261932,0.261932,0.261932,0.378698,10
+144s,2.048,4,10,protocol,7.5,200,950,4.75,240,239,0.995833,0.955446,0.781759,0.516129,0.362538,0.323015,0.277778,0.277778,0.277778,0.277778,0.377478,10
+145s,2.048,4,10,protocol,7.5,200,855,4.275,254,246,0.968504,0.906818,0.678462,0.488914,0.330833,0.29878,0.263441,0.263441,0.263441,0.263441,0.376868,10
+146s,2.048,4,10,protocol,7.5,200,859,4.295,270,267,0.988889,0.929545,0.654545,0.485393,0.328267,0.297111,0.255319,0.255319,0.255319,0.255319,0.376057,10
+147s,2.048,4,10,protocol,7.5,210,983,4.68095,322,321,0.996894,0.964583,0.6875,0.501035,0.357988,0.322667,0.27191,0.27191,0.27191,0.27191,0.375419,10
+148s,2.048,4,10,protocol,7.5,210,1021,4.8619,350,347,0.991429,0.972,0.719444,0.512871,0.380323,0.345333,0.289385,0.289385,0.289385,0.289385,0.374211,10
+149s,2.048,4,10,protocol,7.5,210,973,4.63333,348,336,0.965517,0.945098,0.723611,0.500962,0.380848,0.345033,0.290737,0.290737,0.290737,0.290737,0.373598,10
+150s,2.048,4,10,protocol,7.5,210,1105,5.2619,330,329,0.99697,0.982625,0.803789,0.575581,0.441964,0.383721,0.33,0.33,0.33,0.33,0.372432,10
+151s,3.584,7,10,protocol,7.5,210,1090,5.19048,320,320,1,0.96,0.794355,0.595766,0.44705,0.370765,0.325083,0.325083,0.325083,0.325083,0.372242,10
+152s,4.096,8,10,protocol,7.5,210,1070,5.09524,300,298,0.993333,0.953901,0.74036,0.581818,0.432432,0.353808,0.316484,0.316484,0.316484,0.316484,0.371321,10
+153s,4.096,8,10,protocol,7.5,210,1029,4.9,298,298,1,0.970696,0.725641,0.602128,0.416789,0.344702,0.310648,0.310648,0.310648,0.310648,0.370986,10
+154s,4.096,8,10,protocol,7.5,210,1030,4.90476,318,318,1,0.983271,0.768325,0.638043,0.419286,0.353614,0.324309,0.324309,0.324309,0.324309,0.370025,10
+155s,2.048,4,10,protocol,7.5,210,982,4.67619,322,320,0.993789,0.961111,0.783784,0.613108,0.39726,0.350242,0.322222,0.322222,0.322222,0.322222,0.369905,10
+156s,2.048,4,10,protocol,7.5,210,1014,4.82857,318,318,1,0.981949,0.778667,0.602062,0.40612,0.351807,0.314316,0.314316,0.314316,0.314316,0.369508,10
+157s,4.096,8,10,protocol,7.5,220,1036,4.70909,268,266,0.992537,0.95515,0.757463,0.591262,0.402246,0.346023,0.310081,0.310081,0.310081,0.310081,0.369114,10
+158s,4.096,8,10,protocol,7.5,220,1141,5.18636,228,226,0.991228,0.961165,0.762774,0.58984,0.416335,0.353837,0.309936,0.309936,0.309936,0.309936,0.368157,10
+159s,4.096,8,10,protocol,7.5,220,1152,5.23636,220,220,1,0.937843,0.77439,0.560954,0.425603,0.360795,0.31097,0.31097,0.31097,0.31097,0.367754,10
+160s,4.096,8,10,protocol,7.5,230,1084,4.71304,232,232,1,0.932727,0.758578,0.528157,0.393016,0.332796,0.280853,0.280853,0.280853,0.280853,0.366778,10
+161s,4.096,8,10,protocol,7.5,230,1036,4.50435,264,260,0.984848,0.904215,0.649022,0.466116,0.361538,0.299681,0.248897,0.248897,0.248897,0.248897,0.366482,10
+162s,4.096,8,10,protocol,7.5,230,1057,4.59565,280,276,0.985714,0.959839,0.626198,0.474194,0.375479,0.317495,0.251497,0.251497,0.251497,0.251497,0.365483,10
