SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+0s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
+1s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
+2s,4.608,9,10,protocol,7.5,30,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0.0662058,10
+3s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,338133,10
+4s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,248522,10
+5s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,201395,10
+6s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,170340,10
+7s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,147582,10
+8s,11.776,23,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,125686,10
+9s,11.264,22,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,92627.1,10
+10s,8.704,17,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,79286.1,10
+11s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,75325.7,10
+12s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,71973,10
+13s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,68764.7,10
+14s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,66024.6,10
+15s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,63494.4,10
+16s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,60953.2,10
+17s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,58333.7,10
+18s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,56349.8,10
+19s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,54496.4,10
+20s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,52761,10
+21s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,51132.7,10
+22s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,49197.4,10
+23s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,47778.7,10
+24s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,46401.3,10
+25s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,45046.3,10
+26s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,43563.9,10
+27s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,42220.8,10
+28s,8.192,16,10,protocol,7.5,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40987.7,10
+29s,8.192,16,10,protocol,7.5,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,39998.2,10
+30s,6.656,13,10,protocol,7.5,60,0,0,54,0,0,0,0,0,0,0,0,0,0,0,38235.4,10
