SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPdr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+79s,4.096,8,10,protocol,7.5,130,349,2.68462,94,91,0.968085,0.955,0.741722,0.533333,0.493392,0.355556,0.266667,0.266667,0.266667,0.266667,0.406044
+80s,2.56,5,10,protocol,7.5,130,362,2.78462,84,84,1,1,0.6625,0.504762,0.471111,0.348684,0.238739,0.238739,0.238739,0.238739,0.404294
+81s,2.048,4,10,protocol,7.5,130,352,2.70769,80,80,1,0.972222,0.65,0.512315,0.442553,0.317073,0.223656,0.223656,0.223656,0.223656,0.40396
+82s,2.048,4,10,protocol,7.5,130,347,2.66923,83,82,0.987952,0.965517,0.61875,0.518325,0.396,0.293769,0.207547,0.207547,0.207547,0.207547,0.402512
+83s,2.048,4,10,protocol,7.5,130,345,2.65385,68,67,0.985294,0.944444,0.65035,0.489474,0.372,0.254795,0.197872,0.197872,0.197872,0.197872,0.402056
+84s,2.048,4,10,protocol,7.5,130,328,2.52308,60,58,0.966667,0.88172,0.692607,0.436275,0.33271,0.228205,0.190171,0.190171,0.190171,0.190171,0.40069
+85s,3.072,6,10,protocol,7.5,140,393,2.80714,60,60,1,0.97093,0.820833,0.428261,0.345614,0.232861,0.200815,0.200815,0.200815,0.200815,0.39989
+86s,2.048,4,10,protocol,7.5,140,345,2.46429,68,68,1,0.96875,0.716102,0.384091,0.279801,0.196512,0.177521,0.177521,0.177521,0.177521,0.398923
+87s,2.048,4,10,protocol,7.5,140,338,2.41429,96,96,1,0.96875,0.668103,0.353881,0.225291,0.180233,0.164894,0.164894,0.164894,0.164894,0.397679
+88s,2.048,4,10,protocol,7.5,140,341,2.43571,100,100,1,0.95625,0.596154,0.350679,0.21831,0.176136,0.166309,0.166309,0.166309,0.166309,0.395407
+89s,2.048,4,10,protocol,7.5,140,376,2.68571,100,97,0.97,0.95625,0.655303,0.403263,0.235695,0.197941,0.186022,0.186022,0.186022,0.186022,0.394001
+90s,2.048,4,10,protocol,7.5,140,391,2.79286,86,86,1,0.9375,0.698582,0.42094,0.266216,0.228009,0.209574,0.209574,0.209574,0.209574,0.391852
+91s,2.048,4,10,protocol,7.5,140,405,2.89286,74,74,1,0.950276,0.734899,0.401099,0.293566,0.254651,0.224846,0.224846,0.224846,0.224846,0.39071
+92s,2.048,4,10,protocol,7.5,140,428,3.05714,58,58,1,0.96729,0.788961,0.399671,0.341292,0.282558,0.241551,0.241551,0.241551,0.241551,0.388672
+93s,2.048,4,10,protocol,7.5,140,428,3.05714,60,59,0.983333,0.916667,0.780488,0.423841,0.368876,0.297674,0.252465,0.252465,0.252465,0.252465,0.387464
+94s,2.048,4,10,protocol,7.5,140,449,3.20714,60,60,1,0.928854,0.757062,0.446667,0.399404,0.308046,0.262745,0.262745,0.262745,0.262745,0.385529
+95s,2.048,4,10,protocol,7.5,150,477,3.18,86,84,0.976744,0.914634,0.669048,0.44252,0.399148,0.296414,0.260185,0.260185,0.260185,0.260185,0.384273
+96s,2.048,4,10,protocol,7.5,150,494,3.29333,110,104,0.945455,0.910714,0.615217,0.442188,0.393056,0.297895,0.254039,0.254039,0.254039,0.254039,0.382799
+97s,2.048,4,10,protocol,7.5,150,562,3.74667,132,129,0.977273,0.958333,0.716667,0.5375,0.476454,0.353909,0.301754,0.301754,0.301754,0.301754,0.381651
+98s,2.048,4,10,protocol,7.5,150,611,4.07333,124,123,0.991935,0.97931,0.793249,0.59306,0.498674,0.37751,0.326389,0.326389,0.326389,0.326389,0.379778
+99s,0.512,1,10,protocol,7.5,150,612,4.08,135,128,0.948148,0.927778,0.843612,0.617742,0.47875,0.37549,0.324576,0.324576,0.324576,0.324576,0.379179
+100s,0,0,10,protocol,7.5,150,606,4.04,100,100,1,0.961326,0.790795,0.59434,0.455422,0.363462,0.32363,0.32363,0.32363,0.32363,0.378023
+101s,0,0,10,protocol,7.5,150,614,4.09333,140,140,1,0.981579,0.820833,0.60061,0.441704,0.373814,0.341421,0.341421,0.341421,0.341421,0.377916
+102s,0,0,10,protocol,7.5,150,608,4.05333,160,160,1,0.997368,0.84898,0.626506,0.448276,0.392453,0.366197,0.366197,0.366197,0.366197,0.376812
+103s,1.536,3,10,protocol,7.5,150,592,3.94667,164,164,1,0.973404,0.774131,0.596726,0.426596,0.371296,0.355496,0.355496,0.355496,0.355496,0.376132
+104s,2.048,4,10,protocol,7.5,150,624,4.16,179,179,1,0.983146,0.772727,0.583791,0.446429,0.393519,0.369565,0.369565,0.369565,0.369565,0.374599
+105s,2.048,4,10,protocol,7.5,160,631,3.94375,160,159,0.99375,0.95082,0.746552,0.533251,0.428713,0.360833,0.322653,0.322653,0.322653,0.322653,0.373675
+106s,0,0,10,protocol,7.5,160,593,3.70625,134,132,0.985075,0.954787,0.713793,0.492857,0.398844,0.344426,0.294452,0.294452,0.294452,0.294452,0.372861
+107s,0,0,10,protocol,7.5,160,554,3.4625,127,125,0.984252,0.936306,0.616393,0.43418,0.355388,0.306688,0.264789,0.264789,0.264789,0.264789,0.372459
+108s,0,0,10,protocol,7.5,160,598,3.7375,156,152,0.974359,0.963855,0.621581,0.445534,0.383677,0.325637,0.282849,0.282849,0.282849,0.282849,0.371415
+109s,0,0,10,protocol,7.5,160,560,3.5,160,158,0.9875,0.917143,0.54519,0.387164,0.346296,0.281627,0.256164,0.256164,0.256164,0.256164,0.371051
+110s,0,0,10,protocol,7.5,160,534,3.3375,160,154,0.9625,0.852601,0.511204,0.369433,0.336096,0.262968,0.25,0.25,0.25,0.25,0.370054
+111s,0,0,10,protocol,7.5,160,621,3.88125,156,154,0.987179,0.915068,0.571046,0.426,0.381038,0.306916,0.291781,0.291781,0.291781,0.291781,0.37434
+112s,0,0,10,protocol,7.5,160,599,3.74375,142,138,0.971831,0.895238,0.572944,0.431138,0.364865,0.313043,0.295688,0.295688,0.295688,0.295688,0.379052
+113s,2.048,4,10,protocol,7.5,160,628,3.925,186,185,0.994624,0.907834,0.618852,0.452096,0.376872,0.328261,0.308583,0.308583,0.308583,0.308583,0.37987
+114s,2.048,4,10,protocol,7.5,160,688,4.3,244,236,0.967213,0.945545,0.690934,0.511179,0.405645,0.362915,0.344521,0.344521,0.344521,0.344521,0.378469
+115s,2.048,4,10,protocol,7.5,160,703,4.39375,314,314,1,0.980519,0.755952,0.498039,0.39441,0.362857,0.351314,0.351314,0.351314,0.351314,0.37816
+116s,2.048,4,10,protocol,7.5,160,725,4.53125,342,342,1,0.991903,0.844551,0.522817,0.400456,0.37165,0.365465,0.365465,0.365465,0.365465,0.377422
+117s,2.048,4,10,protocol,7.5,160,725,4.53125,358,352,0.98324,0.982,0.869205,0.526052,0.403226,0.369718,0.363573,0.363573,0.363573,0.363573,0.376572
+118s,2.048,4,10,protocol,7.5,160,744,4.65,390,390,1,0.998,0.820669,0.559006,0.419907,0.380282,0.375,0.375,0.375,0.375,0.375139
+119s,2.048,4,10,protocol,7.5,160,761,4.75625,404,402,0.99505,0.979675,0.807122,0.584946,0.423017,0.383099,0.377778,0.377778,0.377778,0.377778,0.374325
+120s,2.048,4,10,protocol,7.5,160,813,5.08125,412,407,0.987864,0.966942,0.885294,0.654348,0.474389,0.426346,0.412894,0.412894,0.412894,0.412894,0.372948
+121s,2.048,4,10,protocol,7.5,160,850,5.3125,372,367,0.986559,0.969965,0.945619,0.701794,0.544348,0.440845,0.42614,0.42614,0.42614,0.42614,0.37237
