SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+42s,6.144,12,10,protocol,7.5,70,200,2.85714,40,39,0.975,0.977273,0.613636,0.50625,0.3375,0.331967,0.289286,0.289286,0.289286,0.289286,0.405802
+43s,6.144,12,10,protocol,7.5,80,254,3.175,56,56,1,0.965116,0.795082,0.521505,0.373077,0.346429,0.323333,0.323333,0.323333,0.323333,0.405174
+44s,6.144,12,10,protocol,7.5,80,255,3.1875,40,40,1,0.99,0.825,0.55,0.380769,0.353571,0.309375,0.309375,0.309375,0.309375,0.405259
+45s,6.144,12,10,protocol,7.5,80,259,3.2375,36,36,1,0.98,0.942308,0.586826,0.379845,0.35,0.27762,0.27762,0.27762,0.27762,0.406233
+46s,6.144,12,10,protocol,7.5,80,253,3.1625,20,20,1,1,0.97,0.613924,0.429204,0.346429,0.269444,0.269444,0.269444,0.269444,0.405623
+47s,6.144,12,10,protocol,7.5,80,243,3.0375,28,28,1,1,0.96,0.607595,0.436364,0.333333,0.266667,0.266667,0.266667,0.266667,0.404299
+48s,6.144,12,10,protocol,7.5,80,235,2.9375,40,38,0.95,0.95,0.84,0.6,0.451613,0.26087,0.219895,0.219895,0.219895,0.219895,0.403062
+49s,6.144,12,10,protocol,7.5,80,239,2.9875,40,40,1,1,0.8,0.571429,0.444444,0.25,0.2,0.2,0.2,0.2,0.402381
+50s,6.144,12,10,protocol,7.5,80,233,2.9125,40,40,1,0.971429,0.78,0.557143,0.428571,0.248408,0.195,0.195,0.195,0.195,0.401244
+51s,6.144,12,10,protocol,7.5,80,222,2.775,40,40,1,1,0.75,0.580645,0.378947,0.246575,0.18,0.18,0.18,0.18,0.401527
+52s,4.096,8,10,protocol,7.5,80,195,2.4375,40,40,1,1,0.75,0.491803,0.277778,0.208333,0.157895,0.157895,0.157895,0.157895,0.402355
+53s,4.096,8,10,protocol,7.5,80,178,2.225,24,22,0.916667,0.966667,0.783784,0.414286,0.27619,0.204225,0.15847,0.15847,0.15847,0.15847,0.403151
+54s,4.096,8,10,protocol,7.5,80,190,2.375,20,20,1,1,1,0.491803,0.3,0.214286,0.170455,0.170455,0.170455,0.170455,0.402908
+55s,4.096,8,10,protocol,7.5,90,199,2.21111,20,20,1,0.983333,0.556604,0.307292,0.21223,0.163889,0.139151,0.139151,0.139151,0.139151,0.403009
+56s,4.096,8,10,protocol,7.5,90,203,2.25556,20,20,1,1,0.541667,0.300926,0.249042,0.180556,0.154762,0.154762,0.154762,0.154762,0.401996
+57s,4.096,8,10,protocol,7.5,90,223,2.47778,20,20,1,1,0.629032,0.386139,0.280576,0.216667,0.19403,0.19403,0.19403,0.19403,0.400919
+58s,4.096,8,10,protocol,7.5,90,216,2.4,20,20,1,0.95,0.608333,0.405556,0.268382,0.202778,0.192105,0.192105,0.192105,0.192105,0.399746
+59s,4.096,8,10,protocol,7.5,90,223,2.47778,20,20,1,1,0.544118,0.411111,0.284615,0.228395,0.194737,0.194737,0.194737,0.194737,0.398998
+60s,4.096,8,10,protocol,7.5,90,235,2.61111,20,20,1,0.983333,0.5,0.39899,0.308594,0.263333,0.207895,0.207895,0.207895,0.207895,0.397664
+61s,4.096,8,10,protocol,7.5,90,255,2.83333,20,20,1,0.923077,0.65,0.472727,0.433333,0.353741,0.290503,0.290503,0.290503,0.290503,0.396381
+62s,4.096,8,10,protocol,7.5,90,270,3,20,20,1,0.910714,0.7125,0.57,0.475,0.407143,0.335294,0.335294,0.335294,0.335294,0.395151
+63s,4.096,8,10,protocol,7.5,90,254,2.82222,20,20,1,0.954545,0.563218,0.49,0.408333,0.331081,0.28655,0.28655,0.28655,0.28655,0.39426
+64s,4.096,8,10,protocol,7.5,130,517,3.97692,66,66,1,0.971963,0.703911,0.63,0.545455,0.466667,0.381818,0.381818,0.381818,0.381818,0.392729
+65s,4.096,8,10,protocol,7.5,130,550,4.23077,88,87,0.988636,0.939394,0.765896,0.6625,0.552083,0.490741,0.414062,0.414062,0.414062,0.414062,0.391751
+66s,4.096,8,10,protocol,7.5,130,578,4.44615,102,93,0.911765,0.908451,0.811798,0.7225,0.602083,0.514235,0.43921,0.43921,0.43921,0.43921,0.392066
+67s,4.096,8,10,protocol,7.5,130,659,5.06923,152,152,1,1,0.994118,0.808612,0.704167,0.563333,0.512121,0.512121,0.512121,0.512121,0.390778
+68s,4.096,8,10,protocol,7.5,130,656,5.04615,196,196,1,1,1,0.779817,0.699588,0.537975,0.515152,0.515152,0.515152,0.515152,0.389014
+69s,4.096,8,10,protocol,7.5,130,622,4.78462,192,191,0.994792,0.979412,0.979412,0.792857,0.658103,0.520312,0.504545,0.504545,0.504545,0.504545,0.387265
+70s,3.072,6,10,protocol,7.5,130,632,4.86154,168,168,1,1,1,0.825243,0.636704,0.53125,0.515152,0.515152,0.515152,0.515152,0.386453
+71s,2.048,4,10,protocol,7.5,130,570,4.38462,119,115,0.966387,0.942308,0.9,0.732057,0.525773,0.478125,0.463636,0.463636,0.463636,0.463636,0.38581
+72s,3.072,6,10,protocol,7.5,130,525,4.03846,100,100,1,0.992647,0.904192,0.712264,0.510135,0.472613,0.460366,0.460366,0.460366,0.460366,0.385446
+73s,2.048,4,10,protocol,7.5,130,436,3.35385,98,95,0.969388,0.95,0.820122,0.611364,0.463793,0.433871,0.411315,0.411315,0.411315,0.411315,0.384938
+74s,3.584,7,10,protocol,7.5,130,412,3.16923,80,79,0.9875,0.966387,0.81677,0.605991,0.463028,0.424194,0.393713,0.393713,0.393713,0.393713,0.384262
+75s,4.096,8,10,protocol,7.5,130,406,3.12308,74,74,1,0.966981,0.755882,0.611905,0.46223,0.414516,0.369253,0.369253,0.369253,0.369253,0.383231
+76s,4.096,8,10,protocol,7.5,130,390,3,70,70,1,0.953704,0.76875,0.588517,0.473077,0.395498,0.345506,0.345506,0.345506,0.345506,0.383003
+77s,4.096,8,10,protocol,7.5,130,372,2.86154,80,80,1,0.951754,0.799342,0.578571,0.484064,0.384494,0.328378,0.328378,0.328378,0.328378,0.382134
+78s,2.048,4,10,protocol,7.5,130,370,2.84615,80,78,0.975,0.951923,0.799296,0.540476,0.493478,0.355799,0.283042,0.283042,0.283042,0.283042,0.381921
+79s,2.048,4,10,protocol,7.5,130,360,2.76923,94,91,0.968085,0.97,0.758278,0.545238,0.504405,0.363492,0.272619,0.272619,0.272619,0.272619,0.381679
+80s,2.048,4,10,protocol,7.5,130,361,2.77692,84,84,1,1,0.6625,0.504762,0.471111,0.348684,0.238739,0.238739,0.238739,0.238739,0.381712
+81s,2.048,4,10,protocol,7.5,130,346,2.66154,80,79,0.9875,0.955556,0.640625,0.504926,0.43617,0.3125,0.22043,0.22043,0.22043,0.22043,0.381437
+82s,2.048,4,10,protocol,7.5,130,339,2.60769,83,80,0.963855,0.913793,0.590625,0.494764,0.378,0.280415,0.198113,0.198113,0.198113,0.198113,0.38117
+83s,2.048,4,10,protocol,7.5,130,344,2.64615,68,67,0.985294,0.944444,0.65035,0.489474,0.372,0.254795,0.197872,0.197872,0.197872,0.197872,0.380913
+84s,2.048,4,10,protocol,7.5,130,332,2.55385,60,60,1,0.903226,0.708171,0.446078,0.340187,0.233333,0.194444,0.194444,0.194444,0.194444,0.380799
+85s,2.048,4,10,protocol,7.5,140,386,2.75714,60,60,1,0.965116,0.8125,0.423913,0.342105,0.230496,0.198777,0.198777,0.198777,0.198777,0.380656
+86s,2.048,4,10,protocol,7.5,140,346,2.47143,68,68,1,0.975,0.720339,0.386364,0.281457,0.197674,0.178571,0.178571,0.178571,0.178571,0.380755
+87s,2.048,4,10,protocol,7.5,140,338,2.41429,96,96,1,0.9625,0.663793,0.351598,0.223837,0.17907,0.16383,0.16383,0.16383,0.16383,0.380882
+88s,2.048,4,10,protocol,7.5,140,347,2.47857,100,100,1,0.975,0.607692,0.357466,0.222535,0.179545,0.169528,0.169528,0.169528,0.169528,0.380819
+89s,2.048,4,10,protocol,7.5,140,375,2.67857,100,97,0.97,0.9625,0.655303,0.403263,0.235695,0.197941,0.186022,0.186022,0.186022,0.186022,0.380363
+90s,2.048,4,10,protocol,7.5,140,397,2.83571,86,86,1,0.95,0.712766,0.429487,0.271622,0.232639,0.21383,0.21383,0.21383,0.21383,0.380405
+91s,2.048,4,10,protocol,7.5,140,403,2.87857,74,74,1,0.950276,0.728188,0.397436,0.290885,0.252326,0.222793,0.222793,0.222793,0.222793,0.380281
+92s,2.048,4,10,protocol,7.5,140,428,3.05714,58,58,1,0.96729,0.792208,0.401316,0.342697,0.283721,0.242545,0.242545,0.242545,0.242545,0.380188
+93s,2.048,4,10,protocol,7.5,140,432,3.08571,60,59,0.983333,0.920833,0.783537,0.425497,0.370317,0.298837,0.253452,0.253452,0.253452,0.253452,0.379985
+94s,2.048,4,10,protocol,7.5,140,444,3.17143,60,60,1,0.916996,0.748588,0.441667,0.394933,0.304598,0.259804,0.259804,0.259804,0.259804,0.379954
+95s,2.048,4,10,protocol,7.5,150,479,3.19333,86,84,0.976744,0.922764,0.67381,0.445669,0.401989,0.298523,0.262037,0.262037,0.262037,0.262037,0.379865
+96s,2.048,4,10,protocol,7.5,150,497,3.31333,110,104,0.945455,0.915179,0.617391,0.44375,0.394444,0.298947,0.254937,0.254937,0.254937,0.254937,0.380026
+97s,2.048,4,10,protocol,7.5,150,561,3.74,132,129,0.977273,0.958333,0.714583,0.535937,0.475069,0.352881,0.300877,0.300877,0.300877,0.300877,0.379867
+98s,2.048,4,10,protocol,7.5,150,578,3.85333,124,117,0.943548,0.9,0.738397,0.55205,0.464191,0.351406,0.303819,0.303819,0.303819,0.303819,0.379584
+99s,0.512,1,10,protocol,7.5,150,609,4.06,135,128,0.948148,0.919444,0.837004,0.612903,0.475,0.372549,0.322034,0.322034,0.322034,0.322034,0.379685
+100s,2.048,4,10,protocol,7.5,150,617,4.11333,100,100,1,0.975138,0.807531,0.606918,0.46506,0.371154,0.330479,0.330479,0.330479,0.330479,0.379702
+101s,2.048,4,10,protocol,7.5,150,605,4.03333,140,139,0.992857,0.963158,0.80625,0.589939,0.433857,0.367173,0.335355,0.335355,0.335355,0.335355,0.379489
+102s,2.048,4,10,protocol,7.5,150,594,3.96,160,156,0.975,0.971053,0.82449,0.608434,0.435345,0.381132,0.355634,0.355634,0.355634,0.355634,0.379219
+103s,2.048,4,10,protocol,7.5,150,593,3.95333,164,164,1,0.978723,0.776062,0.598214,0.42766,0.372222,0.356383,0.356383,0.356383,0.356383,0.379456
+104s,2.048,4,10,protocol,7.5,150,624,4.16,179,179,1,0.988764,0.774545,0.585165,0.447479,0.394444,0.370435,0.370435,0.370435,0.370435,0.379225
+105s,2.048,4,10,protocol,7.5,160,629,3.93125,160,159,0.99375,0.948087,0.743103,0.530788,0.426733,0.359167,0.321162,0.321162,0.321162,0.321162,0.37906
+106s,0,0,10,protocol,7.5,160,587,3.66875,134,130,0.970149,0.941489,0.703448,0.485714,0.393064,0.339434,0.290185,0.290185,0.290185,0.290185,0.379537
+107s,0,0,10,protocol,7.5,160,556,3.475,127,125,0.984252,0.929936,0.616393,0.43418,0.355388,0.306688,0.264789,0.264789,0.264789,0.264789,0.380746
+108s,0,0,10,protocol,7.5,160,589,3.68125,156,153,0.980769,0.963855,0.617021,0.442266,0.380863,0.323248,0.280775,0.280775,0.280775,0.280775,0.381325
+109s,0,0,10,protocol,7.5,160,558,3.4875,160,158,0.9875,0.92,0.543732,0.386128,0.34537,0.280873,0.255479,0.255479,0.255479,0.255479,0.381215
+110s,0,0,10,protocol,7.5,160,522,3.2625,160,151,0.94375,0.82948,0.498599,0.360324,0.327808,0.256484,0.243836,0.243836,0.243836,0.243836,0.380672
+111s,11.776,23,10,protocol,7.5,160,614,3.8375,156,151,0.967949,0.89863,0.563003,0.42,0.375671,0.302594,0.287671,0.287671,0.287671,0.287671,0.380674
+112s,2.048,4,10,protocol,7.5,160,600,3.75,142,138,0.971831,0.902381,0.575597,0.433134,0.366554,0.314493,0.297057,0.297057,0.297057,0.297057,0.380674
+113s,2.048,4,10,protocol,7.5,160,614,3.8375,186,179,0.962366,0.887097,0.603825,0.441118,0.36772,0.32029,0.30109,0.30109,0.30109,0.30109,0.380268
+114s,2.048,4,10,protocol,7.5,160,689,4.30625,244,236,0.967213,0.945545,0.690934,0.511179,0.405645,0.362915,0.344521,0.344521,0.344521,0.344521,0.379854
+115s,2.048,4,10,protocol,7.5,160,705,4.40625,314,314,1,0.982684,0.758929,0.5,0.395963,0.364286,0.352697,0.352697,0.352697,0.352697,0.379667
+116s,2.048,4,10,protocol,7.5,160,724,4.525,342,342,1,0.989879,0.841346,0.520833,0.398936,0.37024,0.364078,0.364078,0.364078,0.364078,0.379298
+117s,2.048,4,10,protocol,7.5,160,734,4.5875,358,356,0.994413,0.996,0.88245,0.534068,0.40937,0.375352,0.369114,0.369114,0.369114,0.369114,0.379112
+118s,3.584,7,10,protocol,7.5,160,746,4.6625,390,390,1,1,0.822188,0.560041,0.420684,0.380986,0.375694,0.375694,0.375694,0.375694,0.380024
+119s,7.68,15,10,protocol,7.5,160,762,4.7625,404,402,0.99505,0.979675,0.805638,0.583871,0.42224,0.382394,0.377083,0.377083,0.377083,0.377083,0.381557
+120s,6.144,12,10,protocol,7.5,160,806,5.0375,412,403,0.978155,0.958678,0.877941,0.648913,0.470449,0.422805,0.409465,0.409465,0.409465,0.409465,0.381804
+121s,6.144,12,10,protocol,7.5,160,854,5.3375,372,372,1,0.977032,0.950151,0.705157,0.546957,0.442958,0.428182,0.428182,0.428182,0.428182,0.382182
+122s,3.584,7,10,protocol,7.5,160,808,5.05,348,336,0.965517,0.964527,0.890533,0.721823,0.542342,0.425743,0.406757,0.406757,0.406757,0.406757,0.382831
+123s,2.048,4,10,protocol,7.5,160,808,5.05,318,318,1,0.995,0.910979,0.7733,0.558182,0.439828,0.417687,0.417687,0.417687,0.417687,0.383481
+124s,2.048,4,10,protocol,7.5,160,804,5.025,321,319,0.993769,0.971429,0.886095,0.807278,0.571565,0.460061,0.412534,0.412534,0.412534,0.412534,0.384737
+125s,2.048,4,10,protocol,7.5,160,758,4.7375,288,284,0.986111,0.928571,0.840361,0.740053,0.559118,0.448914,0.384828,0.384828,0.384828,0.384828,0.385521
+126s,2.048,4,10,protocol,7.5,190,848,4.46316,320,316,0.9875,0.939341,0.77657,0.654786,0.510317,0.438608,0.351751,0.351751,0.351751,0.351751,0.386057
+127s,2.048,4,10,protocol,7.5,200,896,4.48,312,302,0.967949,0.947269,0.832134,0.718427,0.546457,0.467026,0.374326,0.374326,0.374326,0.374326,0.386634
+128s,2.048,4,10,protocol,7.5,200,799,3.995,260,251,0.965385,0.911654,0.730024,0.625519,0.478571,0.400931,0.332231,0.332231,0.332231,0.332231,0.387159
+129s,2.048,4,10,protocol,7.5,200,780,3.9,222,222,1,0.953307,0.729426,0.62234,0.464286,0.388446,0.324279,0.324279,0.324279,0.324279,0.388365
